"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Bayer Leverkusen","home","win","[{""time"":3,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":74,""event"":""foul""}]","1.21","60%","18","7","11","3","11","2","18","21","14","3","0"
"Mainz","away","loss","[{""time"":7,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""foul""}]","1.36","40%","13","4","2","5","9","2","16","12","16","5","1"
"Bochum","home","win","[{""time"":38,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":78,""event"":""goal""}]","1.52","36%","14","5","4","2","9","5","9","19","12","8","0"
"Bayern Munich","away","loss","[{""time"":14,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":87,""event"":""goal""}]","3.67","64%","26","10","9","4","16","0","17","24","10","2","1"
"Freiburg","home","draw","[{""time"":30,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":90,""event"":""goal""}]","2.57","51%","13","8","6",,"5","0","11","22","8","3",
"Eintracht Frankfurt","away","draw","[{""time"":11,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":35,""event"":""goal""},{""time"":72,""event"":""goal""}]","1.13","49%","10","6","1",,"4","1","7","11","10","5",
"RB Leipzig","home","win","[{""time"":14,""event"":""goal""},{""time"":23,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":57,""event"":""foul""}]","1.62","48%","16","9","8","1","7","1","14","20","12","0",
"B. Monchengladbach","away","loss","[{""time"":8,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.59","52%","13","0","4","5","13","1","13","19","13","7",
"Darmstadt","home","loss","[{""time"":16,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":95,""event"":""goal""},{""time"":97,""event"":""foul""}]","3.11","54%","21","9","5","4","12","6","16","23","15","2","0"
"Stuttgart","away","win","[{""time"":14,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":92,""event"":""goal""}]","2.27","46%","13","4","3","5","9","2","18","10","14","8","1"
"Heidenheim","home","loss","[{""time"":26,""event"":""foul""},{""time"":32,""event"":""foul""},{""time"":86,""event"":""goal""}]","0.83","44%","6","3","4","2","3","0","6","35","15","2",
"Bayer Leverkusen","away","win","[{""time"":47,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":92,""event"":""foul""}]","2.18","56%","17","4","5","1","13","1","15","17","5","2",
"Hoffenheim","home","loss","[{""time"":29,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.08","62%","16","4","6","3","12","2","10","18","10","2","1"
"Union Berlin","away","win","[{""time"":6,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":89,""event"":""foul""}]","1.42","38%","10","3","2","4","7","3","15","23","7","4","1"
"Mainz","home","win","[{""time"":35,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":104,""event"":""foul""}]","3.07","47%","18","4","7","3","14","2","16","27","8","4","0"
"Augsburg","away","loss","[{""time"":50,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":102,""event"":""foul""}]","0.80","53%","10","4","7","2","6","0","10","24","16","3","1"
"Wolfsburg","home","draw","[{""time"":64,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":98,""event"":""foul""}]","2.13","38%","9","4","5","3","5","5","8","19","18","4",
