"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Tottenham","home","loss","[{""time"":22,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":87,""event"":""goal""}]","2.27","62%","14","2","8","2","12","3","19","16","12","1",,
"Arsenal","away","win","[{""time"":15,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":83,""event"":""foul""}]","1.00","38%","9","3","6","1","6","4","15","7","16","0",,
"Aston Villa","home","draw","[{""time"":4,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":66,""event"":""foul""}]","0.85","28%","9","4","2","3","5","2","18","6","13","3",,
"Chelsea","away","draw","[{""time"":16,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":100,""event"":""foul""},{""time"":100,""event"":""foul""}]","1.47","72%","21","5","4","5","16","4","15","12","14","2",,
"Everton","home","win","[{""time"":60,""event"":""goal""},{""time"":74,""event"":""foul""}]","0.89","48%","18","1","6","1","17","4","14","20","10","4",,
"Brentford","away","loss","[{""time"":43,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.93","52%","10","4","6","2","6","2","14","22","12","0",,
"Fulham","home","draw","[{""time"":52,""event"":""goal""}]","1.27","53%","9","2","5","0","7","1","16","12","11","3",,
"Crystal Palace","away","draw","[{""time"":83,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":91,""event"":""foul""}]","0.97","47%","14","4","9","2","10","1","12","20","15","1",,
"Manchester Utd","home","draw","[{""time"":43,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.64","47%","27","10","6","1","17","0","13","17","7","6",,
"Burnley","away","draw","[{""time"":42,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.57","53%","16","7","5","3","9","2","7","10","11","9",,
"Newcastle","home","win","[{""time"":26,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":72,""event"":""goal""}]","2.43","59%","20","7","4",,"13","3","9","19","9","4",,
"Sheffield Utd","away","loss","[{""time"":5,""event"":""goal""}]","1.64","41%","15","5","5",,"10","0","12","14","10","2",,
"Wolves","home","win","[{""time"":11,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.17","58%","13","5","4","3","8","2","14","24","14","5",,
"Luton","away","loss","[{""time"":58,""event"":""foul""},{""time"":80,""event"":""goal""}]","0.45","42%","9","6","4","1","3","0","16","23","14","3",,
"West Ham","home","draw","[{""time"":43,""event"":""goal""},{""time"":77,""event"":""goal""}]","0.82","29%","11","8","4","0","3","1","14","15","8","6",,
"Liverpool","away","draw","[{""time"":30,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":95,""event"":""foul""}]","1.74","71%","28","8","8","2","20","4","9","21","10","6",,
"Brighton","home","loss","[{""time"":35,""event"":""foul""},{""time"":76,""event"":""foul""}]","0.41","35%","7","3","4","2","4","5","4","9","10","2",,
"Manchester City","away","win","[{""time"":17,""event"":""goal""},{""time"":26,""event"":""goal""},{""time"":34,""event"":""goal""},{""time"":62,""event"":""goal""}]","1.36","65%","14","6","4","0","8","1","14","14","3","3",,
"Crystal Palace","home","win","[{""time"":41,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":88,""event"":""goal""}]","0.96","47%","20","7","7","3","13","5","16","24","10","2",,
"Newcastle","away","loss","[{""time"":60,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":80,""event"":""foul""}]","0.42","53%","7","2","2","3","5","2","14","19","15","5",,
"Everton","home","win","[{""time"":27,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":58,""event"":""goal""}]","0.93","23%","16","6","4","0","10","4","14","15","6","7",,
"Liverpool","away","loss","[{""time"":37,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.91","77%","23","7","13","3","16","1","8","19","13","4",,
"Manchester Utd","home","win","[{""time"":42,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":85,""event"":""goal""}]","2.62","71%","25","13","8","0","12","3","10","21","7","2",,
"Sheffield Utd","away","loss","[{""time"":35,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":87,""event"":""foul""}]","0.86","29%","10","4","4","1","6","2","10","17","9","9",,
"Wolves","home","loss","[{""time"":23,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":99,""event"":""foul""}]","0.53","63%","15","4","8","4","11","2","18","25","10","5",,"0"
"Bournemouth","away","win","[{""time"":37,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.99","37%","21","6","12","1","15","1","12","15","17","4",,"1"
"Arsenal","home","win","[{""time"":4,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":76,""event"":""foul""}]","3.41","44%","27","10","4","2","17","3","11","12","12","1",,
"Chelsea","away","loss","[{""time"":42,""event"":""foul""},{""time"":43,""event"":""foul""}]","1.66","56%","7","1","2","2","6","0","15","6","11","5",,
"Fulham","home","loss","[{""time"":30,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":79,""event"":""foul""}]","0.69","39%","12","5","1","3","7","1","14","18","5","4",,
"Liverpool","away","win","[{""time"":32,""event"":""goal""},{""time"":53,""event"":""goal""},{""time"":72,""event"":""goal""}]","1.12","61%","14","7","4","0","7","3","6","18","11","4",,
"Aston Villa","home","win","[{""time"":46,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":87,""event"":""foul""}]","2.02","56%","15","5","8","1","10","2","17","16","8","5",,
"Bournemouth","away","loss","[{""time"":21,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":55,""event"":""foul""}]","1.55","44%","14","6","4","3","8","3","11","9","14","2",,
